source,target,weight,fraction,rank
STN_Left,root_Right,2437690.1510009766,0.551462064017102,1
STN_Left,PIR_Right,889341.4247703552,0.2011896620734937,2
STN_Left,VISC5_Right,226465.6590576172,0.05123178584514733,3
STN_Left,CP_Right,143566.6290512085,0.03247810208694787,4
STN_Left,EPv_Right,139444.20245361328,0.03154551355458851,5
STN_Left,GPi_Right,127910.97855377196,0.0289364307497184,6
STN_Left,opt_Right,105417.33633041382,0.023847847049832768,7
STN_Left,SSs6b_Right,87898.17993164062,0.019884607446334034,8
STN_Left,SSp-n4_Right,63601.14046478272,0.014388053453039798,9
STN_Left,nst_Right,52739.442443847656,0.011930885380675984,10
STN_Left,SSs6a_Right,46206.66313934326,0.010453019148353188,11
STN_Left,SSs2/3_Right,43777.39263916016,0.009903461804678179,12
STN_Left,int_Right,40333.31718444824,0.009124332037875705,13
STN_Left,PAL_Right,16020.617553710938,0.003624235352212534,14
